iter	F1	Logloss
0	0.2237762238	0.6792030248
1	0.261351052	0.6660068318
2	0.2446206116	0.6535049017
3	0.259009009	0.6425029726
4	0.26	0.6317166924
5	0.2550790068	0.6206752207
6	0.2740331492	0.6110456553
7	0.2636871508	0.6024932119
8	0.2753303965	0.5947182975
9	0.2605790646	0.5869863129
10	0.2693156733	0.579964329
11	0.2693156733	0.572749836
12	0.2709251101	0.5661169815
13	0.2772277228	0.5598008003
14	0.2696132597	0.5539333734
15	0.2718232044	0.5489765067
16	0.2715231788	0.5442696024
17	0.2740331492	0.5388357648
18	0.2772277228	0.5342892529
19	0.2756339581	0.5303712781
20	0.2791208791	0.5261817327
21	0.2807017544	0.522110571
22	0.2803943045	0.5187457754
23	0.2854030501	0.515409767
24	0.2788144896	0.5129525366
25	0.2847754655	0.509603711
26	0.282584885	0.5069149659
27	0.2891304348	0.5043716284
28	0.2891304348	0.5017766671
29	0.295404814	0.4987353984
30	0.2953311618	0.4965941518
31	0.2984749455	0.4941795972
32	0.3006535948	0.4925050404
33	0.3006535948	0.4899974988
34	0.3018458198	0.4882259946
35	0.3066954644	0.4867809873
36	0.305856833	0.4853033735
37	0.307027027	0.4840038331
38	0.3050108932	0.4828742953
39	0.3076923077	0.4811937407
40	0.3098591549	0.4793713727
41	0.3095238095	0.4780222365
42	0.3050108932	0.4770768189
43	0.3038251366	0.4755299507
44	0.3019693654	0.4742791495
45	0.3038251366	0.4734914064
46	0.298245614	0.4724455841
47	0.3034934498	0.4712939975
48	0.3031624864	0.4702345265
49	0.3046789989	0.4691187619
50	0.3061889251	0.4678377075
51	0.3098591549	0.4669483743
52	0.3098591549	0.4660406342
53	0.312837109	0.465168801
54	0.3125	0.4643693316
55	0.3110151188	0.4631710826
56	0.3146551724	0.4623644418
57	0.313174946	0.461544316
58	0.3113513514	0.4609464882
59	0.3138528139	0.4604636347
60	0.313174946	0.4598513712
61	0.312837109	0.4589920963
62	0.3135135135	0.458869579
63	0.3149946063	0.458161891
64	0.3146551724	0.4571600475
65	0.3164693219	0.4565627323
66	0.3135135135	0.456048594
67	0.313174946	0.4554461923
68	0.313174946	0.4547623595
69	0.3149946063	0.4542937271
70	0.3222341568	0.4536641181
71	0.3229278794	0.4529893546
72	0.3211206897	0.4523299061
73	0.3189655172	0.4519108424
74	0.3243823845	0.4513099725
75	0.3225806452	0.4509158637
76	0.3189655172	0.4505198023
77	0.3243823845	0.4501957235
78	0.3207750269	0.449738132
79	0.3207750269	0.4497035796
80	0.3229278794	0.4489370947
81	0.3211206897	0.448235898
82	0.3196544276	0.4475876155
83	0.3193096009	0.4471080664
84	0.3211206897	0.4468459798
85	0.3207750269	0.4462991602
86	0.3225806452	0.4457911058
87	0.3279742765	0.4452584243
88	0.3279742765	0.4448777856
89	0.329764454	0.4447739827
90	0.329764454	0.444384179
91	0.329764454	0.4440694331
92	0.329764454	0.4435133858
93	0.3279742765	0.4430557449
94	0.3315508021	0.4426564537
95	0.329764454	0.4422907029
96	0.329764454	0.4418931635
97	0.329764454	0.4416799828
98	0.3315508021	0.4411808785
99	0.3333333333	0.4408864114
100	0.3336898396	0.4408498884
101	0.3319057816	0.4406901368
102	0.3319057816	0.4403530161
103	0.3319057816	0.4401695525
104	0.3351120598	0.4398500256
105	0.3333333333	0.43951849
106	0.3333333333	0.4391782221
107	0.3333333333	0.4386492681
108	0.3368869936	0.4382546988
109	0.3351120598	0.4378496132
110	0.3333333333	0.4375056868
111	0.3351120598	0.4371949036
112	0.338658147	0.436828593
113	0.3404255319	0.4363854021
114	0.3404255319	0.4362124651
115	0.338658147	0.4356507572
116	0.3382978723	0.4351716774
117	0.340063762	0.434688633
118	0.340063762	0.4344331077
119	0.340063762	0.4337913445
120	0.340063762	0.4335490822
121	0.340063762	0.4332599574
122	0.340063762	0.4328713434
123	0.3382978723	0.4326577218
124	0.3382978723	0.4324294816
125	0.3382978723	0.4321622529
126	0.340063762	0.4317356747
127	0.340063762	0.4314060098
128	0.3418259023	0.4312619699
129	0.3418259023	0.4305079293
130	0.3418259023	0.4301703588
131	0.3418259023	0.4299067301
132	0.3418259023	0.429453389
133	0.3421891605	0.4285862619
134	0.3418259023	0.4284478444
135	0.3421891605	0.42792644
136	0.3404255319	0.4276530664
137	0.3404255319	0.4273738125
138	0.3404255319	0.4272234639
139	0.3421891605	0.4270194513
140	0.3421891605	0.4267241994
141	0.3404255319	0.4263987333
142	0.3404255319	0.4258909661
143	0.3404255319	0.4253992127
144	0.3439490446	0.4250680317
145	0.3457051962	0.4246211045
146	0.3457051962	0.424087703
147	0.3457051962	0.4234521233
148	0.3435843054	0.4229485605
149	0.3435843054	0.4227325156
150	0.3439490446	0.4225539558
151	0.344314559	0.4219870237
152	0.344314559	0.4218473127
153	0.3439490446	0.4216719533
154	0.3439490446	0.4214320314
155	0.3457051962	0.4209692508
156	0.3457051962	0.4205229382
157	0.3474576271	0.4202777085
158	0.3492063492	0.4199049298
159	0.3509513742	0.419811594
160	0.3509513742	0.4197118402
161	0.3526927138	0.4194929561
162	0.3544303797	0.4191505672
163	0.3534391534	0.4188571294
164	0.3534391534	0.4186076573
165	0.355179704	0.4185160243
166	0.355179704	0.4182188017
167	0.355179704	0.4177796706
168	0.3534391534	0.4174313799
169	0.3534391534	0.4172285656
170	0.355179704	0.4168857028
171	0.3548046463	0.4164059362
172	0.3534391534	0.4161715992
173	0.358649789	0.4157283781
174	0.3603793467	0.4155316077
175	0.3617245005	0.415374933
176	0.3617245005	0.414965724
177	0.3634453782	0.4146913043
178	0.3634453782	0.4143416224
179	0.3651626443	0.4141091162
180	0.3655462185	0.4137349287
181	0.3672612802	0.4133206278
182	0.3672612802	0.4131652184
183	0.3676470588	0.4128855985
184	0.3676470588	0.4127758242
185	0.3667017914	0.412543722
186	0.3667017914	0.4123967699
187	0.3680336488	0.4121205278
188	0.3680336488	0.4118404743
189	0.3680336488	0.4116963307
190	0.3697478992	0.4113256317
191	0.3680336488	0.4111101964
192	0.3701366982	0.4104898078
193	0.3701366982	0.4101087947
194	0.3710691824	0.4098884187
195	0.3710691824	0.4097214177
196	0.3710691824	0.4095868099
197	0.3731656184	0.4093305082
198	0.3714585519	0.4091295404
199	0.3731656184	0.4088510919
200	0.3752620545	0.4086568303
201	0.3769633508	0.4083210716
202	0.3773584906	0.4081764056
203	0.3773584906	0.407976517
204	0.3773584906	0.4076455141
205	0.3782654127	0.4075345863
206	0.3782654127	0.4072770863
207	0.3782654127	0.4070505813
208	0.3799582463	0.4069008318
209	0.38125	0.406755321
210	0.3816475495	0.4063196048
211	0.3816475495	0.4058995491
212	0.3816475495	0.4057164382
213	0.3833333333	0.4052739509
214	0.3833333333	0.4050912937
215	0.3833333333	0.4049252839
216	0.3866943867	0.4041664787
217	0.3883696781	0.4037880103
218	0.3883696781	0.4036782892
219	0.3883696781	0.4035801563
220	0.3900414938	0.403379705
221	0.3917098446	0.403178428
222	0.3921161826	0.4027269255
223	0.3921161826	0.4023738064
224	0.3941908714	0.4020713926
225	0.3941908714	0.4019923397
226	0.3941908714	0.4018465845
227	0.3991726991	0.4013750289
228	0.3991726991	0.4009033689
229	0.4012409514	0.4004367806
230	0.402892562	0.4002098603
231	0.402892562	0.3999837773
232	0.4012409514	0.3998421303
233	0.4033092037	0.3992295828
234	0.4049586777	0.399189465
235	0.4066047472	0.3990362489
236	0.4066047472	0.398648295
237	0.4066047472	0.398519659
238	0.4082474227	0.3983808119
239	0.4082474227	0.3980068941
240	0.4082474227	0.3977675652
241	0.4098867147	0.3974398028
242	0.4098867147	0.397036845
243	0.4131551901	0.3966096057
244	0.4131551901	0.3963737992
245	0.4131551901	0.3961997466
246	0.4131551901	0.3960471691
247	0.4135802469	0.3955217501
248	0.4135802469	0.3953949455
249	0.4135802469	0.3950716265
250	0.4135802469	0.3949397505
251	0.4135802469	0.3947963861
252	0.4140061792	0.3943953874
253	0.4140061792	0.3938597623
254	0.4140061792	0.3934669181
255	0.412371134	0.3931498074
256	0.412371134	0.3929694983
257	0.4136504654	0.3926981399
258	0.4152892562	0.392402908
259	0.418556701	0.3919972135
260	0.418556701	0.3918622664
261	0.418556701	0.3915606693
262	0.418556701	0.3914985742
263	0.4189886481	0.3911511766
264	0.4206185567	0.3909210597
265	0.4206185567	0.390801103
266	0.4206185567	0.3903689065
267	0.4206185567	0.3900451535
268	0.4189886481	0.3898077027
269	0.4206185567	0.3893794299
270	0.4189886481	0.3890912135
271	0.4194214876	0.3888521584
272	0.4194214876	0.3887165502
273	0.4210526316	0.3884432698
274	0.4194214876	0.3880536913
275	0.4194214876	0.3880425629
276	0.424742268	0.3877174212
277	0.4263645726	0.3876100166
278	0.424742268	0.3871991758
279	0.424742268	0.3867594877
280	0.4268041237	0.3863021792
281	0.4304840371	0.3859676009
282	0.4320987654	0.3853511726
283	0.4320987654	0.3850962541
284	0.4304840371	0.3846302666
285	0.4304840371	0.3846226324
286	0.4316546763	0.3843743933
287	0.4316546763	0.3841547809
288	0.4332648871	0.3835688231
289	0.4332648871	0.3832013374
290	0.4380757421	0.3828805315
291	0.440122825	0.3827992693
292	0.440122825	0.3826492907
293	0.4385245902	0.3824210934
294	0.4405737705	0.3819252375
295	0.4405737705	0.3817405184
296	0.4437627812	0.381532554
297	0.4405737705	0.3813460904
298	0.4421699079	0.3811107513
299	0.4437627812	0.3806896473
300	0.4469387755	0.3803644974
301	0.4453524004	0.3800826669
302	0.4453524004	0.3799608586
303	0.445807771	0.3798301105
304	0.4446721311	0.3796188371
305	0.4473953013	0.3795006194
306	0.4473953013	0.3792868982
307	0.4473953013	0.378771023
308	0.4489795918	0.3785055681
309	0.4505606524	0.3783266551
310	0.4505606524	0.3779484458
311	0.4505606524	0.3774521719
312	0.4505606524	0.377413199
313	0.4521384929	0.3771629837
314	0.4521384929	0.3768553819
315	0.4505606524	0.3766780562
316	0.4525993884	0.3764700315
317	0.4537131231	0.3762038994
318	0.4537131231	0.3760314901
319	0.4537131231	0.3753631897
320	0.4516785351	0.3747079065
321	0.4521384929	0.3743984714
322	0.4537131231	0.3742110336
323	0.4568527919	0.3739718431
324	0.4584178499	0.3735332758
325	0.4615384615	0.3733525813
326	0.4615384615	0.3729235534
327	0.4615384615	0.3726856268
328	0.4630940344	0.3725002144
329	0.4629441624	0.3720932973
330	0.4629441624	0.3720576897
331	0.4629441624	0.3717964466
332	0.4629441624	0.3717456577
333	0.4645030426	0.3714110035
334	0.4670050761	0.3709771505
335	0.4670050761	0.3706916913
336	0.4685598377	0.3703785669
337	0.4685598377	0.3700841996
338	0.4701114488	0.3699104835
339	0.471659919	0.369615455
340	0.4711830131	0.3694842553
341	0.4727272727	0.3691970522
342	0.4711830131	0.368673902
343	0.4747474747	0.3681647126
344	0.4762865792	0.3679343943
345	0.4762865792	0.3675078572
346	0.4762865792	0.3670542876
347	0.4762865792	0.3668376073
348	0.4747474747	0.3663419335
349	0.4742684157	0.3658903388
350	0.4762865792	0.3655817873
351	0.4762865792	0.3655593933
352	0.4793554884	0.3651100474
353	0.4793554884	0.3650103231
354	0.4808853119	0.3647406606
355	0.4808853119	0.3644773125
356	0.4808853119	0.3642497528
357	0.4808853119	0.3642303893
358	0.4824120603	0.3637968974
359	0.4824120603	0.363706235
360	0.4824120603	0.3636640611
361	0.4824120603	0.3634087298
362	0.4824120603	0.3630755866
363	0.483935743	0.362949533
364	0.4854563691	0.3625125775
365	0.4869739479	0.3624897345
366	0.4884884885	0.3622262506
367	0.4884884885	0.3616373006
368	0.4884884885	0.361115163
369	0.4874623872	0.3607500275
370	0.4874623872	0.3605136255
371	0.4874623872	0.3605009396
372	0.4889779559	0.3599600853
373	0.4889779559	0.3598646573
374	0.4904904905	0.3593638429
375	0.4935064935	0.359120517
376	0.49500998	0.3587410702
377	0.4965104686	0.358524121
378	0.494	0.3581825471
379	0.4975024975	0.3577588701
380	0.499001996	0.3574872234
381	0.499001996	0.3574272669
382	0.5004985045	0.3573468852
383	0.5019920319	0.3569471002
384	0.5019920319	0.3567187628
385	0.5034825871	0.3566072083
386	0.5054726368	0.3561797704
387	0.5054726368	0.3561514114
388	0.5054726368	0.3559591946
389	0.5054726368	0.3559411328
390	0.5044865404	0.355632549
391	0.5044865404	0.3555669905
392	0.5059760956	0.3553822715
393	0.5059760956	0.3553198631
394	0.5054726368	0.3549797973
395	0.5064805583	0.3546060853
396	0.5064805583	0.3545904258
397	0.5094527363	0.3539435638
398	0.5089463221	0.3539043567
399	0.5074626866	0.3534255334
400	0.5079681275	0.352912136
401	0.5079681275	0.3526469497
402	0.5099601594	0.3521637576
403	0.5099601594	0.3516791152
404	0.5149105368	0.3513416959
405	0.5149105368	0.3513312437
406	0.5143992056	0.351283566
407	0.5138888889	0.350976336
408	0.5124131082	0.3507977645
409	0.5149105368	0.3503371638
410	0.5143992056	0.3499727286
411	0.5143992056	0.3495628345
412	0.5143992056	0.3491647557
413	0.5143992056	0.3488934275
414	0.5138888889	0.3486868915
415	0.5138888889	0.3485448152
416	0.5148514851	0.348226481
417	0.5193260654	0.3477843986
418	0.5193260654	0.3476647741
419	0.5222551929	0.3470865821
420	0.521308226	0.3468697867
421	0.5247524752	0.3463794002
422	0.5222551929	0.3458993538
423	0.5217391304	0.3457826842
424	0.5217391304	0.3457690917
425	0.5217391304	0.3453865815
426	0.5217391304	0.3453510403
427	0.5217391304	0.345284357
428	0.5202769535	0.3451079097
429	0.5202769535	0.3448750354
430	0.5207920792	0.3446278434
431	0.5242334322	0.3441618621
432	0.5251727542	0.343644654
433	0.5251727542	0.3433462688
434	0.5251727542	0.3429196286
435	0.5256916996	0.3424862372
436	0.5256916996	0.3423616163
437	0.5285996055	0.342048725
438	0.5334645669	0.3416475833
439	0.534906588	0.3413224549
440	0.5339901478	0.3408145169
441	0.5354330709	0.3407107872
442	0.5368731563	0.3402956378
443	0.5345167653	0.3396894787
444	0.5345167653	0.3394041447
445	0.5359605911	0.3390914504
446	0.5359605911	0.338946108
447	0.5350444225	0.3385510467
448	0.5350444225	0.3383742906
449	0.5422396857	0.3378344426
450	0.5393700787	0.3374905504
451	0.5417075564	0.3371985904
452	0.540806293	0.3368814799
453	0.543670265	0.3367690464
454	0.5422396857	0.3364559283
455	0.5465230167	0.3361851745
456	0.5493646139	0.3358617515
457	0.55078125	0.3357071288
458	0.55078125	0.3354389308
459	0.55078125	0.3351032439
460	0.5479452055	0.3346659709
461	0.5493646139	0.334501976
462	0.5564202335	0.3340912942
463	0.5564202335	0.3340743143
464	0.559223301	0.33370349
465	0.5578231293	0.3332981224
466	0.5606207565	0.3328599438
467	0.5606207565	0.3327489544
468	0.5606207565	0.3325387167
469	0.5606207565	0.3325265446
470	0.5606207565	0.3323924997
471	0.5620155039	0.33222312
472	0.5620155039	0.3320058092
473	0.5634075508	0.3318178275
474	0.5647969052	0.3315966073
475	0.5647969052	0.331581368
476	0.5647969052	0.33131487
477	0.5675675676	0.3313048723
478	0.568948891	0.3312940274
479	0.568948891	0.3309580511
480	0.570327553	0.3306788182
481	0.5717035611	0.3302019059
482	0.5752636625	0.3296665671
483	0.5752636625	0.3294874677
484	0.5752636625	0.3291982639
485	0.575815739	0.3290555987
486	0.575815739	0.3290431391
487	0.575815739	0.3290281295
488	0.575815739	0.3290206354
489	0.575815739	0.3287088794
490	0.575815739	0.3286602282
491	0.575815739	0.3286314319
492	0.575815739	0.3285123726
493	0.575815739	0.3285023397
494	0.575815739	0.3284907983
495	0.575815739	0.3284761893
496	0.575815739	0.3284111484
497	0.575815739	0.3281885668
498	0.5763688761	0.3279071505
499	0.5818181818	0.3274979697
500	0.5831739962	0.3273554387
501	0.5831739962	0.3269612536
502	0.5831739962	0.3264479766
503	0.5845272206	0.3262222391
504	0.5831739962	0.3260366439
505	0.5818181818	0.3258558242
506	0.5818181818	0.3255408101
507	0.5818181818	0.3254471225
508	0.5818181818	0.3252062243
509	0.5845272206	0.3247663008
510	0.5858778626	0.3244805706
511	0.5858778626	0.3244039828
512	0.5858778626	0.3239884786
513	0.5858778626	0.323967381
514	0.5872259295	0.3235471323
515	0.5893536122	0.3232115695
516	0.5893536122	0.3230321423
517	0.5912547529	0.3227242828
518	0.5931558935	0.3224268845
519	0.5939278937	0.3221698875
520	0.5952606635	0.3218406246
521	0.5952606635	0.3215010371
522	0.5979186377	0.3212597304
523	0.5979186377	0.3211306234
524	0.5965909091	0.3209267792
