iter	Passed	Remaining
0	16	8405
1	31	8288
2	48	8398
3	62	8094
4	77	8028
5	91	7872
6	106	7851
7	119	7699
8	133	7655
9	147	7583
10	162	7583
11	175	7510
12	190	7488
13	207	7556
14	224	7630
15	238	7589
16	254	7592
17	268	7551
18	282	7533
19	296	7489
20	311	7478
21	325	7442
22	339	7420
23	357	7459
24	374	7485
25	389	7479
26	409	7544
27	423	7521
28	438	7492
29	450	7435
30	465	7412
31	478	7375
32	493	7362
33	505	7304
34	520	7285
35	532	7229
36	546	7204
37	559	7175
38	574	7155
39	587	7126
40	604	7138
41	618	7114
42	633	7097
43	645	7054
44	658	7025
45	672	7000
46	686	6984
47	700	6959
48	713	6927
49	726	6904
50	741	6891
51	755	6870
52	770	6859
53	782	6822
54	799	6836
55	811	6798
56	826	6786
57	840	6764
58	855	6753
59	866	6718
60	881	6705
61	897	6700
62	906	6644
63	923	6650
64	936	6629
65	949	6604
66	963	6584
67	977	6571
68	989	6540
69	1010	6565
70	1023	6547
71	1039	6537
72	1051	6508
73	1064	6486
74	1078	6468
75	1092	6455
76	1106	6435
77	1121	6424
78	1134	6405
79	1136	6324
80	1150	6309
81	1164	6290
82	1179	6279
83	1192	6260
84	1212	6278
85	1223	6243
86	1239	6242
87	1254	6230
88	1270	6222
89	1287	6223
90	1307	6233
91	1318	6207
92	1337	6214
93	1357	6222
94	1376	6231
95	1393	6229
96	1408	6214
97	1423	6203
98	1440	6199
99	1454	6180
100	1459	6124
101	1472	6107
102	1486	6089
103	1500	6075
104	1514	6058
105	1528	6042
106	1542	6024
107	1556	6010
108	1570	5992
109	1585	5979
110	1597	5956
111	1610	5939
112	1625	5928
113	1639	5911
114	1653	5893
115	1667	5880
116	1681	5864
117	1696	5851
118	1708	5828
119	1722	5814
120	1736	5796
121	1750	5783
122	1764	5766
123	1778	5752
124	1792	5735
125	1807	5723
126	1823	5713
127	1838	5703
128	1853	5688
129	1866	5671
130	1879	5653
131	1894	5639
132	1907	5621
133	1917	5593
134	1930	5577
135	1944	5560
136	1957	5544
137	1972	5531
138	1984	5510
139	1997	5492
140	2013	5484
141	2029	5473
142	2041	5452
143	2056	5440
144	2069	5422
145	2083	5409
146	2097	5394
147	2112	5380
148	2122	5355
149	2135	5338
150	2149	5323
151	2163	5309
152	2177	5295
153	2191	5279
154	2205	5263
155	2220	5251
156	2234	5238
157	2248	5222
158	2261	5206
159	2274	5189
160	2288	5173
161	2302	5159
162	2314	5139
163	2334	5138
164	2348	5123
165	2363	5111
166	2376	5095
167	2391	5081
168	2404	5065
169	2422	5059
170	2437	5045
171	2451	5031
172	2465	5016
173	2478	4999
174	2492	4984
175	2506	4969
176	2519	4953
177	2533	4939
178	2545	4920
179	2559	4906
180	2571	4888
181	2582	4867
182	2596	4851
183	2613	4843
184	2626	4827
185	2643	4817
186	2656	4802
187	2668	4783
188	2682	4768
189	2696	4754
190	2710	4739
191	2721	4720
192	2733	4701
193	2747	4688
194	2761	4673
195	2775	4659
196	2789	4644
197	2804	4631
198	2819	4618
199	2835	4607
200	2849	4592
201	2874	4596
202	2898	4597
203	2913	4583
204	2926	4568
205	2938	4550
206	2951	4534
207	2965	4519
208	2978	4503
209	2993	4490
210	3005	4472
211	3021	4461
212	3036	4447
213	3051	4434
214	3063	4416
215	3076	4401
216	3089	4385
217	3104	4371
218	3117	4356
219	3131	4342
220	3143	4324
221	3159	4312
222	3172	4296
223	3187	4283
224	3203	4271
225	3218	4257
226	3231	4241
227	3246	4229
228	3257	4210
229	3270	4195
230	3282	4177
231	3297	4164
232	3313	4152
233	3328	4138
234	3343	4126
235	3359	4114
236	3371	4096
237	3384	4081
238	3396	4064
239	3412	4052
240	3441	4055
241	3455	4041
242	3469	4026
243	3484	4012
244	3509	4010
245	3521	3993
246	3533	3977
247	3548	3962
248	3561	3947
249	3582	3940
250	3594	3923
251	3609	3909
252	3623	3895
253	3638	3881
254	3650	3865
255	3662	3848
256	3674	3831
257	3687	3816
258	3701	3801
259	3716	3788
260	3741	3784
261	3755	3770
262	3766	3752
263	3781	3738
264	3795	3723
265	3808	3708
266	3822	3693
267	3836	3679
268	3847	3661
269	3861	3646
270	3874	3631
271	3886	3614
272	3896	3596
273	3909	3581
274	3922	3565
275	3931	3546
276	3944	3531
277	3958	3516
278	3972	3502
279	3986	3488
280	4001	3474
281	4015	3460
282	4030	3446
283	4043	3431
284	4056	3416
285	4063	3395
286	4076	3380
287	4091	3366
288	4104	3352
289	4121	3340
290	4136	3326
291	4152	3313
292	4173	3304
293	4187	3290
294	4205	3278
295	4222	3266
296	4238	3254
297	4257	3243
298	4272	3229
299	4294	3221
300	4313	3210
301	4330	3197
302	4347	3185
303	4362	3171
304	4379	3159
305	4393	3144
306	4404	3127
307	4418	3113
308	4430	3096
309	4444	3082
310	4456	3066
311	4470	3051
312	4482	3035
313	4496	3021
314	4506	3004
315	4520	2990
316	4533	2974
317	4546	2959
318	4561	2945
319	4576	2932
320	4590	2917
321	4603	2902
322	4615	2886
323	4625	2869
324	4638	2854
325	4649	2838
326	4659	2821
327	4674	2807
328	4687	2792
329	4698	2776
330	4710	2760
331	4724	2746
332	4737	2731
333	4754	2718
334	4767	2704
335	4781	2689
336	4794	2674
337	4822	2668
338	4836	2653
339	4849	2638
340	4861	2623
341	4876	2609
342	4889	2594
343	4904	2580
344	4919	2566
345	4933	2552
346	4948	2538
347	4959	2522
348	4986	2514
349	5002	2501
350	5015	2486
351	5029	2471
352	5042	2457
353	5056	2442
354	5068	2427
355	5082	2412
356	5095	2398
357	5110	2384
358	5124	2369
359	5136	2354
360	5149	2339
361	5162	2324
362	5176	2310
363	5190	2295
364	5203	2281
365	5217	2266
366	5230	2251
367	5246	2238
368	5265	2226
369	5280	2212
370	5292	2196
371	5308	2183
372	5323	2169
373	5336	2154
