,loannumber,loanamount,totaldue,termdays,bank_account_type,longitude_gps,latitude_gps,employment_status_clients,creationdate_dow,additional_charges,is_referred,age,ploan_loanamount_mean,ploan_loanamount_min,ploan_loanamount_25%,ploan_loanamount_50%,ploan_loanamount_75%,ploan_loanamount_max,ploan_totaldue_mean,ploan_totaldue_min,ploan_totaldue_25%,ploan_totaldue_50%,ploan_totaldue_75%,ploan_totaldue_max,ploan_termdays_mean,ploan_termdays_min,ploan_termdays_25%,ploan_termdays_50%,ploan_termdays_75%,ploan_termdays_max,ploan_approval_time_mean,ploan_approval_time_min,ploan_approval_time_25%,ploan_approval_time_50%,ploan_approval_time_75%,ploan_approval_time_max,ploan_return_days_mean_x,ploan_return_days_min_x,ploan_return_days_25%_x,ploan_return_days_50%_x,ploan_return_days_75%_x,ploan_return_days_max_x,ploan_return_days_mean_y,ploan_return_days_min_y,ploan_return_days_25%_y,ploan_return_days_50%_y,ploan_return_days_75%_y,ploan_return_days_max_y,ploan_first_return_days_mean,ploan_first_return_days_min,ploan_first_return_days_25%,ploan_first_return_days_50%,ploan_first_return_days_75%,ploan_first_return_days_max,ploan_additional charges_mean,ploan_additional charges_min,ploan_additional charges_25%,ploan_additional charges_50%,ploan_additional charges_75%,ploan_additional charges_max,good_bad_flag,bank_name_clients_Diamond Bank,bank_name_clients_EcoBank,bank_name_clients_FCMB,bank_name_clients_Fidelity Bank,bank_name_clients_First Bank,bank_name_clients_GT Bank,bank_name_clients_Heritage Bank,bank_name_clients_Keystone Bank,bank_name_clients_Skye Bank,bank_name_clients_Stanbic IBTC,bank_name_clients_Standard Chartered,bank_name_clients_Sterling Bank,bank_name_clients_UBA,bank_name_clients_Union Bank,bank_name_clients_Unity Bank,bank_name_clients_Wema Bank,bank_name_clients_Zenith Bank
0,12.0,30000.0,34500.0,30.0,0.0,3.4320101999999997,6.4330553,0.0,1.0,4500.0,0.0,46.0,18181.81818181818,10000.0,15000.0,20000.0,20000.0,30000.0,22081.81818181818,13000.0,18400.0,23800.0,24500.0,34500.0,30.0,30.0,30.0,30.0,30.0,30.0,1.637272727272727,1.0,1.0,1.0,1.0,8.01,29.454545454545453,1.0,20.0,29.0,37.0,68.0,29.454545454545453,1.0,20.0,29.0,37.0,68.0,0.0,-40.0,-8.0,4.0,9.5,28.0,3900.0,3000.0,3400.0,3800.0,4500.0,4500.0,Good,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2.0,15000.0,17250.0,30.0,1.0,3.885298,7.3207002999999995,0.0,2.0,2250.0,0.0,32.0,18511.904761904763,10000.0,11250.0,17500.0,24375.0,30000.0,21383.035714285714,11475.0,13125.0,21437.5,27303.125,34400.0,21.964285714285715,15.0,15.0,18.75,30.0,30.0,1.0008333333333335,1.0,1.0,1.0,1.0,1.005,20.297619047619047,12.0,13.875,18.25,27.0,30.0,20.297619047619047,12.0,13.875,18.25,27.0,30.0,1.0714285714285714,-1.0,0.0,0.5,1.5,5.0,2871.1309523809523,1475.0,1546.875,2693.75,4181.25,4450.0,Good,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,7.0,20000.0,22250.0,15.0,0.0,11.1393496,10.2920413,0.0,3.0,2250.0,0.0,33.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,11750.0,11500.0,11500.0,11500.0,11500.0,13000.0,17.5,15.0,15.0,15.0,15.0,30.0,1.0,1.0,1.0,1.0,1.0,1.0,18.166666666666668,5.0,8.0,14.0,22.25,45.0,18.166666666666668,5.0,8.0,14.0,22.25,45.0,-1.8333333333333333,-31.0,-1.0,2.5,6.75,9.0,1750.0,1500.0,1500.0,1500.0,1500.0,3000.0,Good,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3.0,10000.0,11500.0,15.0,1.0,3.9857697999999995,7.491708099999999,0.0,3.0,1500.0,0.0,40.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,12250.0,11500.0,11875.0,12250.0,12625.0,13000.0,22.5,15.0,18.75,22.5,26.25,30.0,1.0,1.0,1.0,1.0,1.0,1.0,31.5,27.0,29.25,31.5,33.75,36.0,31.5,27.0,29.25,31.5,33.75,36.0,-8.5,-12.0,-10.25,-8.5,-6.75,-5.0,2250.0,1500.0,1875.0,2250.0,2625.0,3000.0,Good,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,9.0,40000.0,44000.0,30.0,0.0,7.4579127000000005,9.0765736,0.0,0.0,4000.0,0.0,31.0,18750.0,10000.0,10000.0,20000.0,22500.0,30000.0,23550.0,13000.0,13000.0,23800.0,27600.0,39000.0,37.5,30.0,30.0,30.0,37.5,60.0,1.00125,1.0,1.0,1.0,1.0,1.01,27.0,23.0,24.5,29.0,29.0,29.0,27.0,23.0,24.5,29.0,29.0,29.0,2.125,0.0,0.0,0.5,3.75,7.0,4800.0,3000.0,3000.0,3800.0,5100.0,9000.0,Good,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,8.0,30000.0,39000.0,60.0,0.5,3.3016306,6.54069335,0.5,2.0,9000.0,0.0,37.0,14285.714285714286,10000.0,10000.0,10000.0,20000.0,20000.0,17828.571428571428,13000.0,13000.0,13000.0,24150.0,24500.0,30.0,30.0,30.0,30.0,30.0,30.0,1.002857142857143,1.0,1.0,1.0,1.0,1.02,24.857142857142858,5.0,25.0,27.0,30.0,32.0,24.857142857142858,5.0,25.0,27.0,30.0,32.0,4.428571428571429,-2.0,-1.0,3.0,4.0,24.0,3542.8571428571427,3000.0,3000.0,3000.0,4150.0,4500.0,Good,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,3.0,10000.0,13000.0,30.0,1.0,3.2594445,6.557011200000001,0.0,0.0,3000.0,0.0,28.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,12250.0,11500.0,11875.0,12250.0,12625.0,13000.0,22.5,15.0,18.75,22.5,26.25,30.0,1.0,1.0,1.0,1.0,1.0,1.0,19.5,12.0,15.75,19.5,23.25,27.0,19.5,12.0,15.75,19.5,23.25,27.0,1.5,1.0,1.25,1.5,1.75,2.0,2250.0,1500.0,1875.0,2250.0,2625.0,3000.0,Good,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,10.0,30000.0,34500.0,30.0,1.0,6.1780555999999995,5.4257995999999995,0.5,0.0,4500.0,0.0,30.0,20000.0,10000.0,10000.0,20000.0,30000.0,30000.0,23000.0,11500.0,13000.0,21900.0,34400.0,34500.0,23.333333333333332,15.0,15.0,30.0,30.0,30.0,1.0022222222222221,1.0,1.0,1.0,1.0,1.02,22.11111111111111,12.0,14.0,28.0,29.0,30.0,22.11111111111111,12.0,14.0,28.0,29.0,30.0,0.0,-1.0,-1.0,0.0,1.0,1.0,3000.0,1500.0,1900.0,3000.0,4400.0,4500.0,Good,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,4.0,10000.0,11500.0,15.0,1.0,3.3965242,6.627942900000001,0.0,2.0,1500.0,0.0,30.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,11500.0,11500.0,11500.0,11500.0,11500.0,11500.0,15.0,15.0,15.0,15.0,15.0,15.0,1.0733333333333333,1.0,1.0,1.0,1.1099999999999999,1.22,17.666666666666668,14.0,14.0,14.0,19.5,25.0,17.666666666666668,14.0,14.0,14.0,19.5,25.0,-2.3333333333333335,-10.0,-5.0,0.0,1.5,3.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,Good,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9,2.0,10000.0,11500.0,15.0,1.0,3.2858723,6.5824438999999995,4.0,0.0,1500.0,0.0,33.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,11500.0,11500.0,11500.0,11500.0,11500.0,11500.0,15.0,15.0,15.0,15.0,15.0,15.0,1.02,1.02,1.02,1.02,1.02,1.02,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,2.0,2.0,2.0,2.0,2.0,2.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,Good,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
